Twist and Shout,The Beatles Revival Band,Pop
How You Like That,BLACKPINK,Pop
24K Magic,Bruno Mars,Pop
Boy With Luv,BTS ft Halsey,Pop
Truth Hurts,Lizzo,Hip-Hop
ON,BTS,Pop
Since U Been Gone,Kelly Clarkson,Pop
Turn Down For What,DJ Snake & Lil Jon,Hip-Hop
September,Earth Wind and Fire,R&B
Bad Habits,Ed Sheeran,Pop
Jailhouse Rock,Elvis Presley,Rock
Mi Gente,J Balvin Y Willy William ft Beyonce,Pop
Truth Hurts,Lizzo,Hip-Hop
Despacito,Luis Fonsi & Daddy Yankee ft Justin Bieber,Pop
Uptown Funk,Mark Ronson ft Bruno Mars,Pop
Party In The U.S.A.,Miley Cyrus,Pop
Bye Bye Bye,*NSYNC,Pop
The One That Got Away,Katy Perry,Pop
The Hokey Pokey,Ray Anthony,Pop
Jailhouse Rock,Elvis Presley,Rock
Style,Taylor Swift,Pop
Shake It Off,Taylor Swift,Pop
Love Story,Taylor Swift,Country
Mean,Taylor Swift,Pop
I Knew You Were Trouble,Taylor Swift,Pop
Magic,TOMORROW X TOGETHER,Pop
Shut Up And Dance,Walk The Moon,Pop
The Way I Talk,Morgan Wallen,Country
Chicken Fried,Zac Brown Band,Country
IDOL Remix,BTS ft Nicki Minaj,Pop
ON,BTS ft Sia,Pop
Hokey Pokey Remix,Ray Anthony - DJ CSharp,Pop
I Wish feat. Mabel,Mabel & Joel Corry,Dance
Used To Be,Wiz Khalifa & Steve Aoki & Kiiara,Pop
Big Energy Remix,Latto & Mariah Carey ft DJ Khaled,Hip Hop
River,Tom Gregory,Pop
Deja Vu,Oliver Heldens & Anabel Englund,Dance
Mean,Taylor Swift,Pop
From The Start,NALYRO,Dance
Dont Start Now,Dua Lipa,Pop
Woman,Doja Cat,Pop
Drive,Bandit & Topic & Wes Nelson,Dance
WOW,Majority V,Dance
Duo,Sam Gellaitry,Dance
AMAZING,Mary J. Blige ft DJ Khaled,Hip-Hop
Cold Heart,Elton John & Dua Lipa,Dance
Kill Bill,SZA,R&B
Chemical,Post Malone,Pop
Calm Down,Rema & Selena Gomez,Pop
Flowers,Miley Cyrus,Pop
Sunshine,OneRepublic,Pop
Sure Thing,Miguel,Hip-Hop
Players,Coi Leray,Hip-Hop
I Ain't Worried,OneRepublic,Pop
Heaven,Niall Horan,Pop
Unholy,Sam Smith & Kim Petras,Pop
Miracle,Calvin Harris and Ellie Goulding,Dance
CUFF IT,Beyonce,R&B
Just Wanna Rock,Lil Uzi Vert,Hip-Hop
I'm Good Blue,David Guetta & Bebe Rexha,Pop
OMG,NewJeans,Pop
10:35,TiÃ«sto and Tate McRae,Dance
Made You Look,Meghan Trainor,Pop
Bones,Imagine Dragons,Pop
Late Night Talking,Harry Styles,Pop
CUFF IT,Beyonce,R&B
